"TABLE 9-7. Employed scientists and engineers, by ethnicity, race, occupation, highest degree level, and sex: 2015",,,,,,,,,,,
"Ethnicity, race, and occupation",All degreesa,,Bachelor's,,Master's,,Doctorate,,,,
Computer and information scientist,D,"1,000",D,"1,000",D,D,D,D,,,
Mathematical scientist            ,D,D,D,D,D,D,D,D,,,
Physical scientist                ,D,*,D,D,D,D,D,D,,,
Psychologist                      ,D,D,D,D,D,D,D,D,,,
Social scientist                  ,*,S,D,D,D,D,D,D,,,
Engineering occupations                           ,D,"4,000",D,"3,000",D,S,D,D,,,
S&E-related occupations               ,"18,000","9,000","13,000","7,000","4,000","2,000",D,D,,,
Non-S&E occupations                   ,"15,000","24,000","7,000","11,000",S,"8,000",D,D,,,
Asian,"1,356,000","1,767,000","665,000","787,000","477,000","655,000","95,000","185,000",,,
S&E occupations                       ,"417,000","904,000","149,000","379,000","210,000","394,000","54,000","128,000",,,
Science occupations                           ,"377,000","665,000","133,000","271,000","190,000","297,000","50,000","95,000",,,
Biological/life scientist         ,"57,000","57,000","15,000","9,000","15,000","11,000","25,000","34,000",,,
Computer and information scientist,"221,000","504,000","98,000","231,000","117,000","251,000","6,000","23,000",,,
Mathematical scientist            ,S,"37,000","4,000",S,S,"19,000","4,000","6,000",,,
Physical scientist                ,"16,000","48,000","3,000","15,000","6,000","9,000","7,000","25,000",,,
Psychologist                      ,"13,000","4,000",S,D,"2,000",S,"3,000","3,000",,,
Social scientist                  ,"19,000","15,000","5,000","3,000","8,000","6,000","5,000","5,000",,,
Engineering occupations                           ,"40,000","239,000","16,000","108,000","19,000","97,000","5,000","33,000",,,
S&E-related occupations               ,"467,000","404,000","247,000","165,000","105,000","100,000","25,000","26,000",,,
Non-S&E occupations                   ,"472,000","460,000","268,000","244,000","163,000","162,000","15,000","31,000",,,
Black or African American,"949,000","767,000","542,000","457,000","332,000","213,000","32,000","34,000",,,
S&E occupations                       ,"104,000","204,000","49,000","124,000","42,000","61,000","13,000","16,000",,,
Science occupations                           ,"88,000","146,000","42,000","86,000","33,000","44,000","12,000","13,000",,,
Biological/life scientist         ,"10,000","7,000","4,000","3,000","4,000","1,000",S,"2,000",,,
Computer and information scientist,"47,000","107,000","31,000","74,000","16,000","30,000",D,"2,000",,,
Mathematical scientist            ,"3,000","5,000","1,000",S,"2,000","2,000",*,"2,000",,,
Physical scientist                ,"4,000","9,000","2,000","3,000","1,000","2,000",D,"4,000",,,
Psychologist                      ,"14,000",S,"3,000",D,"7,000",S,"4,000","1,000",,,
Social scientist                  ,"10,000","10,000","1,000",S,"4,000","2,000","5,000","2,000",,,
Engineering occupations                           ,"16,000","58,000","7,000","38,000","9,000","17,000",*,"3,000",,,
S&E-related occupations               ,"301,000","213,000","182,000","124,000","89,000","46,000","5,000","5,000",,,
Non-S&E occupations                   ,"543,000","351,000","312,000","209,000","201,000","106,000","14,000","13,000",,,
Native Hawaiian or Other Pacific Islander,"32,000","44,000","19,000","35,000","12,000","9,000",D,D,,,
S&E occupations                       ,"2,000","9,000","1,000","7,000",S,"3,000",D,D,,,
Science occupations                           ,"2,000","6,000","1,000","3,000",S,"2,000",D,D,,,
Biological/life scientist         ,"1,000",D,D,D,D,D,D,D,,,
Computer and information scientist,S,"5,000",D,"3,000",D,S,D,D,,,
Mathematical scientist            ,D,D,D,D,D,D,D,D,,,
Physical scientist                ,D,D,D,D,D,D,D,D,,,
Psychologist                      ,D,D,D,D,D,D,D,D,,,
Social scientist                  ,D,*,D,D,D,D,D,D,,,
Engineering occupations                           ,D,"4,000",D,"3,000",D,*,D,D,,,
S&E-related occupations               ,"14,000","8,000","9,000","6,000",S,S,D,D,,,
Non-S&E occupations                   ,"16,000","27,000","9,000","22,000","6,000",S,D,D,,,
White,"8,217,000","9,625,000","4,472,000","5,502,000","2,756,000","2,541,000","349,000","580,000",,,
S&E occupations                       ,"1,144,000","3,123,000","554,000","1,953,000","397,000","829,000","174,000","319,000",,,
Science occupations                           ,"973,000","2,081,000","448,000","1,251,000","342,000","541,000","165,000","269,000",,,
Biological/life scientist         ,"209,000","241,000","95,000","90,000","56,000","70,000","55,000","75,000",,,
Computer and information scientist,"388,000","1,378,000","266,000","1,016,000","117,000","328,000","3,000","29,000",,,
Mathematical scientist            ,"73,000","125,000","26,000",S,"30,000","45,000","12,000","23,000",,,
Physical scientist                ,"64,000","169,000","30,000","64,000","22,000","40,000","12,000","65,000",,,
Psychologist                      ,"119,000","57,000","10,000","5,000","59,000","14,000","41,000","34,000",,,
Social scientist                  ,"120,000","111,000","21,000","19,000","58,000","44,000","41,000","44,000",,,
Engineering occupations                           ,"171,000","1,041,000","106,000","702,000","55,000","288,000","9,000","49,000",,,
S&E-related occupations               ,"3,313,000","2,363,000","1,869,000","1,175,000","1,003,000","518,000","67,000","85,000",,,
Non-S&E occupations                   ,"3,760,000","4,140,000","2,049,000","2,373,000","1,355,000","1,193,000","108,000","177,000",,,
More than one race,"226,000","217,000","120,000","137,000","86,000","55,000","8,000","8,000",,,
S&E occupations                       ,"31,000","72,000","16,000","46,000","12,000","20,000","3,000","6,000",,,
Science occupations                           ,"26,000","51,000","12,000","33,000","11,000","13,000","2,000","4,000",,,
Biological/life scientist         ,"7,000","5,000",S,S,"1,000","1,000","1,000","2,000",,,
Computer and information scientist,"8,000","38,000","5,000","30,000","3,000","8,000",D,D,,,
Mathematical scientist            ,S,"3,000",S,S,D,S,D,D,,,
Physical scientist                ,"1,000","2,000",*,*,"1,000",S,D,"1,000",,,
Psychologist                      ,"4,000","1,000",D,D,"3,000",D,"1,000","1,000",,,
Social scientist                  ,"4,000","2,000","1,000",D,S,"1,000","1,000",D,,,
Engineering occupations                          ,"6,000","21,000","4,000","12,000","1,000","7,000",D,S,,,
S&E-related occupations               ,"73,000","56,000","34,000","36,000","29,000","10,000",S,"1,000",,,
Non-S&E occupations                   ,"122,000","89,000","70,000","55,000","45,000","25,000","1,000","1,000",,,
* = estimate < 500. D = suppressed for data confidentiality reasons. S = suppressed for reliability; coefficient of variation exceeds publication standards.,,,,,,,,,,,
S&E = science and engineering.,,,,,,,,,,,
"a All degrees includes professional degrees, which are not shown separately.",,,,,,,,,,,
b Persons of Hispanic or Latino origin may be of any race. ,,,,,,,,,,,
"NOTES: Numbers rounded to nearest 1,000. Detail may not add to total because of rounding and suppression. Scientists and engineers are individuals who have a bachelor's or higher degree, are living in the United States, and have an S&E or S&E-related degree or occupation.",,,,,,,,,,,
"SOURCE: National Science Foundation, National Center for Science and Engineering Statistics, National Survey of College Graduates, 2015.",,,,,,,,,,,
